Model,Accuracy,Precision,Recall,F1
SVM,0.9123076923076925,0.9123076923076925,1.0,0.9540997949419001
RandomForest,1.0,1.0,1.0,1.0
LDA,0.8997435897435897,0.9133670715249662,0.9835585585585586,0.9470110164847005
DecisionTree,1.0,1.0,1.0,1.0
