"Variable","Importance"
"RN7SL304P",-3.92708950800236e-05
"PLA2G5",0
"PLA2G2D",-7.18731475992884e-05
"PLA2G2F",0
"PLA2G2C",0
"UBXN10",0
"VWA5B1",-0.000666864256075874
"CAMK2N1",0
"MUL1",0
"FAM43B",0
"CDA",8.74333135743932e-05
"PINK1",0
"DDOST",0
"KIF17",-6.07587433313572e-05
"SH2D5",0.000703171310017784
"HP1BP3",0
"EIF4G3",0
"MIR1256",0
"ECE1",0
"NBPF3",-3.85299347954948e-05
"ALPL",2.74155305275636e-05
"RAP1GAP",0
"USP48",0
"LDLRAD2",0
"HSPG2",-2.81564908120924e-05
"CDC42",-0.000339359810314167
"CELA3A",0
"CELA3B",0
"LINC00339",0
"RN7SL186P",0.000726141078838174
"RN7SL386P",2.74155305275647e-05
"WNT4",-0.000331950207468878
"MIR4418",3.03793716656786e-05
"ZBTB40",-3.03793716656786e-05
"EPHA8",-0.000183017190278602
"C1QA",0
"C1QC",0.000374925903971548
"C1QB",-8.66923532898633e-05
"EPHB2",0
"MIR4684",0
"MIR4253",0
"LACTBL1",0
"C1orf234",-7.40960284528747e-06
"KDM1A",0
"MIR3115",0
"MIR4419A",-0.000179312388855958
"LUZP1",1.55601659751037e-05
"HTR1D",0
"HNRNPR",3.92708950800236e-05
"ZNF436",-3.11203319502074e-05
"C1orf213",0
"TCEA3",-0.00034380557202134
"ASAP3",-0.000114848844101957
"E2F2",4.89033787788973e-05
"ID3",0
"MDS2",0.000288974510966211
"RPL11",0.000371221102548903
"TCEB3",0
"PITHD1",0
"GALE",0
"HMGCL",0
"LYPLA2",0
"FUCA1",0
"CNR2",-0.000129668049792531
"MIR378F",0
"PNRC2",7.18731475992884e-05
"SRSF10",0
"MYOM3",0
"IL22RA1",0
"IFNLR1",0
"GRHL3",0
"STPG1",5.48310610551273e-05
"NIPAL3",0
"RCAN3",0
"NCMAP",0
"SRRM1",1.40782454060462e-05
"CLIC4",-0.000175607587433313
"RUNX3",0
"MIR4425",0
"C1orf63",0
"RHCE",0.000140041493775934
"RHD",0.000114107883817428
"SYF2",0
"TMEM50A",0
"TMEM57",0
"LDLRAP1",-0.000424570243034974
"MAN1C1",0
"SEPN1",-0.000125222288085358
"MTFR1L",-0.000281564908120924
"AUNIP",0.000505334914048606
"PAQR7",-0.00014819205690575
"STMN1",-0.000113366923532898
"MIR3917",0
"PAFAH2",0
"EXTL1",0
"SLC30A2",0
"TRIM63",0
"PDIK1L",-0.000382335506816834
"FAM110D",0.000206727919383521
"ZNF593",0
"CNKSR1",0
"CATSPER4",0
"CEP85",0
"SH3BGRL3",0
"UBXN11",0.000856550088915233
"AIM1L",0
"CD52",0
"ZNF683",0
"LIN28A",0
"DHDDS",-0.0003608476585655
"HMGN2",0
"RPS6KA1",0
"MIR1976",0
"RN7SL679P",0
"ARID1A",-5.03852993479548e-05
"PIGV",0
"RN7SL165P",0
"ZDHHC18",0
"SFN",0
"GPN2",-0.000538678126852401
"GPATCH3",0
"NUDC",0
"NR0B2",0.000525340841730882
"C1orf172",-1.25963248369887e-05
"TRNP1",0.000312685240071133
"FAM46B",0
"SLC9A1",-0.00027267338470658
"WDTC1",-0.000194131594546533
"TMEM222",0.000188944872554832
"SYTL1",-7.70598695909897e-05
"MAP3K6",0.000140782454060462
"FCN3",0.000268968583283936
"CD164L2",0
"GPR3",0
"WASF2",0
"AHDC1",0.000359365737996444
"FGR",2.00059276822762e-05
"IFI6",0
"FAM76A",0
"STX12",0
"PPP1R8",0
"SCARNA1",0
"THEMIS2",0
"RPA2",0.000543123888559574
"SMPDL3B",-0.000445317131001779
"XKR8",0
"EYA3",0
"RN7SL559P",0
"PTAFR",0.000386040308239479
"DNAJC8",0.000178571428571428
"ATPIF1",-0.000200800237107291
"SESN2",4.00118553645534e-05
"MED18",-0.000348992294013041
"PHACTR4",-6.37225844694722e-05
"RNU6ATAC27P",4.22347362181397e-05
"RCC1",0
"SNHG3",0.000200059276822763
"SNORA73B",9.85477178423233e-05
"TRNAU1AP",2.00059276822762e-05
"SNHG12",0.000359365737996444
"SNORD99",0
"TAF12",0.000632780082987552
"RAB42",0.000503112033195021
"RNU11",0
"GMEB1",-0.000151155898043864
"YTHDF2",0
"OPRD1",0
"EPB41",0
"TMEM200B",0.000271932424422051
"SRSF4",0
"MECR",-0.000223770005927681
"PTPRU",0.000327504445761706
"LAPTM5",0.000334914048606995
"MATN1",0
"MIR4420",-0.000173384706579728
"RN7SKP91",0
"SDC3",9.26200355660933e-05
"PUM1",0
